volume_total;somme_largeur;somme_hauteur;somme_profondeur;max_largeur;max_hauteur;max_profondeur;boite_largeur;boite_hauteur;boite_profondeur
615;30;41;18;5;7.5;3;16;12.3;8
915;45;61;27;5;7.5;3;24;18.5;12
5960.68;43;83;40.1;10.4;23.3;10.4;27.2;21.2;16.1
6120;51;100;30;10.2;20;6;30;24.2;12.8
1258;18;38;15.5;7;14;5.5;23;5.5;15.5
2110.05;13.3;16.7;9.5;13.3;16.7;9.5;16.5;23;10.9
5531.5;37;46;13;18.5;23;6.5;31.2;40.5;10.8
380.25;6.5;9;6.5;6.5;9;6.5;17.1;23;10.9
931;7;19;7;7;19;7;17.1;23;10.9
800;30;35;30;10;12;10;10.5;12.6;10.5
1200;35;40;35;12;14;12;12.6;14.7;12.6
700;30;30;25;10;10;8;10.5;10.5;8.4
1300;35;40;35;12;14;12;12.6;14.7;12.6
1800;40;50;40;14;18;14;14.7;18.9;14.7
2500;45;55;50;15;20;18;15.7;21;18.9
1500;40;45;35;14;16;12;14.7;16.8;12.6
2000;45;50;40;15;18;14;15.7;18.9;14.7
1600;40;45;35;14;16;12;14.7;16.8;12.6
2100;45;50;40;15;18;14;15.7;18.9;14.7
800;20;20;20;22;22;22;26.4;26.4;26.4
1200;30;30;15;34;34;17;40.8;40.8;20.4
1600;30;40;20;34;45;23;40.8;54;27.6
1000;30;33;25;10;11;8;10.5;11.55;8.4
2400;50;30;25;57;34;29;68.4;40.8;34.8
1200;35;40;25;12;13;8;12.6;13.65;8.4
3200;60;40;30;68;45;34;81.6;54;40.8
1500;40;45;25;14;15;8;14.7;15.75;8.4
1600;40;45;30;14;15;10;14.7;15.75;10.5
1500;30;35;30;10;12;10;10.5;12.6;10.5
2300;35;45;35;12;15;12;12.6;15.75;12.6
2100;40;45;30;14;15;10;14.7;15.75;10.5
2200;35;45;35;12;15;12;12.6;15.75;12.6
1900;35;40;30;12;13;10;12.6;13.65;10.5
2000;40;45;30;14;15;10;14.7;15.75;10.5
2050;40;45;30;14;15;10;14.7;15.75;10.5
2150;40;45;30;14;15;10;14.7;15.75;10.5
1950;35;40;30;12;13;10;12.6;13.65;10.5
2000;35;40;30;12;13;10;12.6;13.65;10.5
2350;40;45;30;14;15;10;14.7;15.75;10.5
1500;30;35;30;10;12;10;11;13.2;11
2300;35;45;35;12;15;12;13.2;16.5;13.2
2100;40;45;30;14;15;10;15.4;16.5;11
1600;30;35;30;10;12;10;11;13.2;11
2200;35;45;35;12;15;12;13.2;16.5;13.2
1900;35;40;30;12;13;10;13.2;14.3;11
2000;40;45;30;14;15;10;15.4;16.5;11
1750;35;40;30;12;13;10;13.2;14.3;11
2050;40;45;30;14;15;10;15.4;16.5;11
1850;35;40;30;12;13;10;13.2;14.3;11
2150;40;45;30;14;15;10;15.4;16.5;11
1950;35;40;30;12;13;10;13.2;14.3;11
2250;40;45;30;14;15;10;15.4;16.5;11
2000;35;40;30;12;13;10;13.2;14.3;11
2350;40;45;30;14;15;10;15.4;16.5;11
